week,run,method,objective
06/20-06/26,9,GZO_HS,-9.85980275202374
06/20-06/26,9,ZO_TG,-7.62127812490939
06/20-06/26,9,ZO_OG,-1.1430315193612326
06/20-06/26,9,ZO_OGVR,-6.438930563239868
06/20-06/26,10,GZO_NS,-8.685157506589208
06/20-06/26,10,GZO_HS,-8.885124805677195
06/20-06/26,10,ZO_TG,-7.473725534294489
06/20-06/26,10,ZO_OG,2.6802453086997957
06/20-06/26,10,ZO_OGVR,-1.8977921445815686
06/20-06/26,11,GZO_NS,-10.542402017065063
06/20-06/26,11,GZO_HS,-10.769293911755689
06/20-06/26,11,ZO_TG,-9.92950016203831
06/20-06/26,11,ZO_OG,18.270944381719705
06/20-06/26,11,ZO_OGVR,-7.252780034781528
06/20-06/26,12,GZO_NS,-5.766090755047205
06/20-06/26,12,GZO_HS,-9.36794313295752
06/20-06/26,12,ZO_TG,-9.399299859778777
06/20-06/26,12,ZO_OG,1.5389746185285536
06/20-06/26,12,ZO_OGVR,-7.565253592881803
06/20-06/26,13,GZO_NS,-9.574990307159995
06/20-06/26,13,GZO_HS,-9.75377028130372
06/20-06/26,13,ZO_TG,-9.20618025986473
06/20-06/26,13,ZO_OG,1.3019384857320933
06/20-06/26,13,ZO_OGVR,-5.572655922506134
06/20-06/26,14,GZO_NS,-10.79760620442473
06/20-06/26,14,GZO_HS,-10.763856410661125
06/20-06/26,14,ZO_TG,-8.916544538919938
06/20-06/26,14,ZO_OG,3.254027417653202
06/20-06/26,14,ZO_OGVR,-4.4080321428342755
06/20-06/26,15,GZO_NS,-9.425544642974524
06/20-06/26,15,GZO_HS,-9.316015251663707
06/20-06/26,15,ZO_TG,-9.052937483832256
06/20-06/26,15,ZO_OG,2.0237274044196014
06/20-06/26,15,ZO_OGVR,-5.346003986989568
06/20-06/26,16,GZO_NS,-8.796649562611874
06/20-06/26,16,GZO_HS,-9.146289098016721
06/20-06/26,16,ZO_TG,-8.703791370799342
06/20-06/26,16,ZO_OG,6.9372782992630535
06/20-06/26,16,ZO_OGVR,-4.484968483211554
06/20-06/26,17,GZO_NS,-8.279693400880815
06/20-06/26,17,GZO_HS,-8.843182642179944
06/20-06/26,17,ZO_TG,-8.563987903269584
06/20-06/26,17,ZO_OG,0.4027368895135279
06/20-06/26,17,ZO_OGVR,-1.1678001873700368
06/20-06/26,18,GZO_NS,-7.005366059082851
06/20-06/26,18,GZO_HS,-9.3699556373433
06/20-06/26,18,ZO_TG,-7.704154989482622
06/20-06/26,18,ZO_OG,3.8355354426989487
06/20-06/26,18,ZO_OGVR,-6.776696334584087
06/20-06/26,19,GZO_NS,-9.966780341480654
06/20-06/26,19,GZO_HS,-10.261960645327884
06/20-06/26,19,ZO_TG,-9.85972291190115
06/20-06/26,19,ZO_OG,0.5443355356520119
06/20-06/26,19,ZO_OGVR,-6.926127968543456
07/18-07/24,0,GZO_NS,-8.413244323610366
07/18-07/24,0,GZO_HS,-4.689474402403073
07/18-07/24,0,ZO_TG,-8.827164691666297
07/18-07/24,0,ZO_OG,0.4736800268097019
07/18-07/24,0,ZO_OGVR,-4.606894864350242
07/18-07/24,1,GZO_NS,-6.633988148420357
07/18-07/24,1,GZO_HS,-7.365674193820913
07/18-07/24,1,ZO_TG,-4.049388792471908
07/18-07/24,1,ZO_OG,86.8559442420534
07/18-07/24,1,ZO_OGVR,-0.2615567103445462
07/18-07/24,2,GZO_NS,-7.940560503403317
07/18-07/24,2,GZO_HS,-7.325466816331004
07/18-07/24,2,ZO_TG,-7.19425529214899
07/18-07/24,2,ZO_OG,1.2281339143898586
07/18-07/24,2,ZO_OGVR,-2.239958652918797
07/18-07/24,3,GZO_NS,-8.105450282909231
07/18-07/24,3,GZO_HS,-8.424025540074014
07/18-07/24,3,ZO_TG,-7.747942314081319
