week,method,samples,objective
03/21-03/27,GZO_HS,1564,-12.638639772146114
03/21-03/27,GZO_HS,1692,-12.540632916055445
03/21-03/27,GZO_HS,1824,-12.552926261169668
03/21-03/27,GZO_HS,1960,-12.735068719153828
03/21-03/27,GZO_HS,2100,-12.70299713873244
03/21-03/27,GZO_HS,2244,-12.56136004632489
03/21-03/27,GZO_HS,2392,-12.62469036810104
03/21-03/27,GZO_HS,2544,-12.534874173274826
03/21-03/27,GZO_HS,2700,-12.554574885785897
03/21-03/27,GZO_HS,2860,-12.611028320314418
03/21-03/27,GZO_HS,3024,-12.615947245880239
03/21-03/27,GZO_HS,3192,-12.595468609469442
03/21-03/27,GZO_HS,3364,-12.590734097040833
03/21-03/27,GZO_HS,3540,-12.581108260655139
03/21-03/27,GZO_HS,3720,-12.50676666467575
03/21-03/27,GZO_HS,3904,-12.626955568733036
03/21-03/27,GZO_HS,4092,-12.518204358715233
03/21-03/27,GZO_HS,4284,-12.53166677687103
03/21-03/27,GZO_HS,4480,-12.623308009039738
03/21-03/27,GZO_HS,4680,-12.566319677093619
03/21-03/27,GZO_HS,4884,-12.68899472102259
03/21-03/27,GZO_HS,5092,-12.595008964546912
03/21-03/27,ZO_TG,0,2.688576200953654
03/21-03/27,ZO_TG,60,-2.225167988575771
03/21-03/27,ZO_TG,124,-3.2861243965809246
03/21-03/27,ZO_TG,192,-3.575421324715815
03/21-03/27,ZO_TG,264,-4.133192474153838
03/21-03/27,ZO_TG,340,-3.8857714692954644
03/21-03/27,ZO_TG,420,-3.428413834510346
03/21-03/27,ZO_TG,504,-3.476775791035714
03/21-03/27,ZO_TG,592,-4.311108322468302
03/21-03/27,ZO_TG,684,-4.5069377363176155
03/21-03/27,ZO_TG,780,-4.720748050395375
03/21-03/27,ZO_TG,880,-4.7215017052076185
03/21-03/27,ZO_TG,984,-4.764132649980582
03/21-03/27,ZO_TG,1092,-5.151161294800228
03/21-03/27,ZO_TG,1204,-5.83778893480812
03/21-03/27,ZO_TG,1320,-5.992733910816503
03/21-03/27,ZO_TG,1440,-6.496492303869669
03/21-03/27,ZO_TG,1564,-7.1513310389263145
03/21-03/27,ZO_TG,1692,-7.21427159797807
03/21-03/27,ZO_TG,1824,-7.154359760257807
03/21-03/27,ZO_TG,1960,-7.280297605217729
03/21-03/27,ZO_TG,2100,-7.285287312425
03/21-03/27,ZO_TG,2244,-7.467228934473845
03/21-03/27,ZO_TG,2392,-8.241059143285485
03/21-03/27,ZO_TG,2544,-8.472213488909878
03/21-03/27,ZO_TG,2700,-8.573375189829308
03/21-03/27,ZO_TG,2860,-8.572433316689134
03/21-03/27,ZO_TG,3024,-8.811910423848142
03/21-03/27,ZO_TG,3192,-8.730392381560966
03/21-03/27,ZO_TG,3364,-8.874596311917486
03/21-03/27,ZO_TG,3540,-9.017483049233299
03/21-03/27,ZO_TG,3720,-9.087890717731552
03/21-03/27,ZO_TG,3904,-9.108119371968769
03/21-03/27,ZO_TG,4092,-9.139594702228921
03/21-03/27,ZO_TG,4284,-9.39304364010922
03/21-03/27,ZO_TG,4480,-9.46632526423908
03/21-03/27,ZO_TG,4680,-9.427279631441616
03/21-03/27,ZO_TG,4884,-9.45018916250647
03/21-03/27,ZO_TG,5092,-9.474922453098493
03/21-03/27,ZO_OG,0,2.5558964820053247
03/21-03/27,ZO_OG,30,3.265493952853191
03/21-03/27,ZO_OG,62,3.6246351078036585
03/21-03/27,ZO_OG,96,2.0971613628850907
03/21-03/27,ZO_OG,132,1.6464362234972123
03/21-03/27,ZO_OG,170,0.8108994058640736
03/21-03/27,ZO_OG,210,1.043118532921302
03/21-03/27,ZO_OG,252,1.3982751526319503
03/21-03/27,ZO_OG,296,1.4826297134699007
03/21-03/27,ZO_OG,342,1.9303158012677186
03/21-03/27,ZO_OG,390,1.870932709213169
03/21-03/27,ZO_OG,440,1.9448549538819284
03/21-03/27,ZO_OG,492,1.8564564417951197
03/21-03/27,ZO_OG,546,2.092175774093365
03/21-03/27,ZO_OG,602,1.620581070132403
03/21-03/27,ZO_OG,660,1.7001540507781188
03/21-03/27,ZO_OG,720,2.3751420329201416
03/21-03/27,ZO_OG,782,2.321051786392708
03/21-03/27,ZO_OG,846,1.6951909854578575
03/21-03/27,ZO_OG,912,1.8814660290458256
03/21-03/27,ZO_OG,980,1.9421280957192713
03/21-03/27,ZO_OG,1050,1.8585550676259763
03/21-03/27,ZO_OG,1122,1.2081949976194895
03/21-03/27,ZO_OG,1196,1.0884007881928137
03/21-03/27,ZO_OG,1272,1.0216886355536927
03/21-03/27,ZO_OG,1350,1.39438815097206
03/21-03/27,ZO_OG,1430,1.4372115913320977
03/21-03/27,ZO_OG,1512,1.3705328833342956
03/21-03/27,ZO_OG,1596,1.2892522873706977
03/21-03/27,ZO_OG,1682,1.3492414670443507
03/21-03/27,ZO_OG,1770,1.4301990323426776
03/21-03/27,ZO_OG,1860,1.5955385408651213
03/21-03/27,ZO_OG,1952,1.6883712269660407
03/21-03/27,ZO_OG,2046,1.6206297316013387
03/21-03/27,ZO_OG,2142,1.766636581608549
03/21-03/27,ZO_OG,2240,1.8045356995816197
03/21-03/27,ZO_OG,2340,1.8222978725402867
03/21-03/27,ZO_OG,2442,1.7507925905372619
03/21-03/27,ZO_OG,2546,1.9010833077602276
03/21-03/27,ZO_OG,2652,1.9920658793437567
03/21-03/27,ZO_OG,2760,1.9066448790658215
03/21-03/27,ZO_OG,2870,1.7257843382462543
03/21-03/27,ZO_OG,2982,1.9048945154848471
03/21-03/27,ZO_OG,3096,1.9346263006451956
03/21-03/27,ZO_OG,3212,1.9391670873861535
03/21-03/27,ZO_OG,3330,2.0600445504604994
03/21-03/27,ZO_OG,3450,2.040708135726353
03/21-03/27,ZO_OG,3572,2.044469621062641
03/21-03/27,ZO_OG,3696,1.97028569305392
03/21-03/27,ZO_OG,3822,1.9237887945948446
03/21-03/27,ZO_OG,3950,1.9991730445802882
03/21-03/27,ZO_OG,4080,1.8469376966187045
03/21-03/27,ZO_OG,4212,1.8276951269923498
03/21-03/27,ZO_OG,4346,1.826695504747196
03/21-03/27,ZO_OG,4482,1.9514081331204738
03/21-03/27,ZO_OG,4620,2.0239647106094907
03/21-03/27,ZO_OG,4760,1.8118565188692763
03/21-03/27,ZO_OG,4902,1.8938169787563888
03/21-03/27,ZO_OG,5046,1.7168709380666085
03/21-03/27,ZO_OGVR,0,2.7090737689409354
03/21-03/27,ZO_OGVR,50,3.619487622171734
03/21-03/27,ZO_OGVR,82,2.698464251411444
